year,source_category,quantity_co2e_tonnes,facility_id
2024,CO2 from Biomass Combustion,0.0,234
2024,Stationary Fuel Combustion,218240.438,234
2024,On-site Transportation,2693.109,234
2024,Wastewater,858.6,234
2023,Waste,70644.0,218
2023,CO2 from Biomass Combustion,0.0,21
2023,Waste,261452.996,21
2024,CO2 from Biomass Combustion,0.0,21
2024,Waste,279720.0,21
2024,CO2 from Biomass Combustion,0.0,826
2024,Stationary Fuel Combustion,8497.27,826
2024,On-site Transportation,894.291,826
2024,Waste,1074.36,826
2024,CO2 from Biomass Combustion,0.0,213
2024,Fugitives (Leakage),26.3312,213
2024,Stationary Fuel Combustion,163656.665,213
2024,Industrial Process,321878.3638,213
2024,On-site Transportation,2244.9018,213
2024,On-site Transportation,211.7978,1068
2024,Waste,27116.5272,1068
2024,Stationary Fuel Combustion,24953.524,667
2024,CO2 from Biomass Combustion,0.0,167
2024,Stationary Fuel Combustion,166242.33,167
2024,Industrial Process,4733.0344,167
2024,Wastewater,3121.7844,167
2024,Fugitives (Flaring),13719.213,371
2024,Fugitives (Leakage),0.2324,371
2024,Stationary Fuel Combustion,37507.8689,371
2024,On-site Transportation,461.3444,371
2024,Fugitives (Venting),4.7937,371
2024,Fugitives (Flaring),89059.0657,159
2024,Fugitives (Leakage),266.448,159
2024,Stationary Fuel Combustion,852334.4321,159
2024,Industrial Process,353.3002,159
2024,On-site Transportation,983.3206,159
2024,Fugitives (Venting),17.1948,159
2024,Wastewater,2261.666,159
2024,Fugitives (Flaring),3523.9656,161
2024,Fugitives (Leakage),7.4872,161
2024,Stationary Fuel Combustion,62828.5277,161
2024,On-site Transportation,183.1227,161
2023,Fugitives (Flaring),168569.6341,1038
2023,Fugitives (Leakage),78.344,1038
2023,Stationary Fuel Combustion,452473.7566,1038
2023,On-site Transportation,200.4528,1038
2023,Fugitives (Venting),36266.7668,1038
2023,Wastewater,9.07564,1038
2022,Fugitives (Flaring),218086.5995,1038
2022,Fugitives (Leakage),2.632952,1038
2022,Stationary Fuel Combustion,442401.3326,1038
2022,On-site Transportation,473.1848,1038
2022,Fugitives (Venting),35410.26332,1038
2022,Wastewater,7.632072,1038
2024,Fugitives (Leakage),7.3,728
2024,Stationary Fuel Combustion,32083.2834,728
2024,Stationary Fuel Combustion,29009.27477,1143
2024,Fugitives (Flaring),1674.5313,322
2024,Fugitives (Leakage),101.472,322
2024,Stationary Fuel Combustion,31857.78513,322
2024,Fugitives (Venting),9320.0013,322
2024,Stationary Fuel Combustion,6245.916275,228
2022,Stationary Fuel Combustion,19633.4164,710
2022,On-site Transportation,171.85,710
2023,Stationary Fuel Combustion,22475.92,646
2023,Industrial Process,10561.088,646
2023,On-site Transportation,393.8206,646
2023,Stationary Fuel Combustion,12263.98323,645
2023,Industrial Process,6645.0,645
2023,On-site Transportation,615.26667,645
2023,Stationary Fuel Combustion,64919.445,410
2023,On-site Transportation,1003.4723,410
2023,Wastewater,1311.485,410
2024,CO2 from Biomass Combustion,0.0,204
2024,Stationary Fuel Combustion,78861.062,204
2024,Industrial Process,1364.0,204
2024,On-site Transportation,2013.333,204
2024,Waste,1153.88,204
2023,CO2 from Biomass Combustion,0.0,204
2023,Stationary Fuel Combustion,74271.651,204
2023,Industrial Process,993.0,204
2023,On-site Transportation,1740.286,204
2023,Waste,1138.48,204
2024,Stationary Fuel Combustion,14005.79386,1223
2024,On-site Transportation,57.69086,1223
2024,Fugitives (Leakage),0.7672,294
2024,Stationary Fuel Combustion,22742.0475,294
2024,Industrial Process,69000.356,294
2024,On-site Transportation,2000.1104,294
2023,CO2 from Biomass Combustion,0.0,1105
2023,Stationary Fuel Combustion,22.257,1105
2023,On-site Transportation,381.714,1105
2023,Waste,48478.485,1105
2024,CO2 from Biomass Combustion,0.0,1221
2024,Stationary Fuel Combustion,4926.5898,1221
2024,On-site Transportation,172.38171,1221
2024,CO2 from Biomass Combustion,0.0,135
2024,Stationary Fuel Combustion,146412.697,135
2024,Industrial Process,363863.22,135
2024,On-site Transportation,883.332733,135
2024,Stationary Fuel Combustion,138.662102,603
2024,On-site Transportation,386.453212,603
2024,Waste,79892.94043,603
2024,Industrial Process,12280.165,772
2024,Stationary Fuel Combustion,33640.80705,1288
2024,Stationary Fuel Combustion,10989.19804,1289
2024,Stationary Fuel Combustion,13934.31288,1330
2024,On-site Transportation,279.384,1330
2024,Stationary Fuel Combustion,580151.6191,44
2024,Industrial Process,97315.427,44
2024,On-site Transportation,133434.4347,44
2024,Stationary Fuel Combustion,3943.321,1158
2024,Industrial Process,326.4,1158
2024,On-site Transportation,9416.121,1158
2022,Stationary Fuel Combustion,3991.955,1566
2022,Industrial Process,7844.65,1566
2022,On-site Transportation,431.637,1566
2024,Stationary Fuel Combustion,1.48,1328
2024,On-site Transportation,558.5867,1328
2024,Waste,54628.3905,1328
2024,Stationary Fuel Combustion,46403.68,465
