facility_id,ghgrp_id,facility_name,npri_id,province,naics_code,naics_description
228,G10293,Tunis Power Plant,10407,Ontario,221112,Fossil-Fuel Electric Power Generation
229,G10295,Usine Alma,5510,Quebec,331313,Primary Production of Alumina and Aluminum
230,G10296,Usine Arvida,3406,Quebec,331313,Primary Production of Alumina and Aluminum
231,G10298,Usine de Bécancour,2855,Quebec,325181,Alkali and Chlorine Manufacturing
232,G10299,Usine de Bouletage de Port-Cartier,2000,Quebec,212210,Iron Ore Mining
233,G10300,Aluminerie de Deschambault,4782,Quebec,331313,Primary Production of Alumina and Aluminum
234,G10302,Usine de La Tuque,3140,Quebec,322130,Paperboard Mills
235,G10304,Usine de Québec,4068,Quebec,322122,Newsprint Mills
236,G10306,Usine Grande-Baie,3062,Quebec,331313,Primary Production of Alumina and Aluminum
237,G10307,Usine Laterrière,3060,Quebec,331313,Primary Production of Alumina and Aluminum
238,G10310,W12A Landfill,5790,Ontario,562210,Waste Treatment and Disposal
239,G10312,Wapiti Deep Cut Plant 04-08-069-08 W6M,432,Alberta,211110,Oil and gas extraction (except oil sands)
240,G10313,Waterton Complex,2108,Alberta,211110,Oil and gas extraction (except oil sands)
241,G10315,West Windsor Power,5901,Ontario,221112,Fossil-Fuel Electric Power Generation
242,G10316,Western Canada Operations,280,Alberta,325110,Petrochemical Manufacturing
243,G10318,Dryden Mill,,Ontario,322112,Chemical Pulp Mills
244,G10321,Wildcat Hills Gas Plant,3751,Alberta,211110,Oil and gas extraction (except oil sands)
245,G10323,Windsor Essex Cogeneration Plant,5267,Ontario,221112,Fossil-Fuel Electric Power Generation
246,G10324,PAW In-Situ Oilsands Facilities,,Alberta,211141,In-situ oil sands extraction
247,G10327,Strathcona Works,19289,Alberta,324190,Other Petroleum and Coal Products Manufacturing
248,G10328,BIENFAIT MINE - CHAR PLANT,6933,Saskatchewan,324190,Other Petroleum and Coal Products Manufacturing
249,G10329,Bolney Thermal,18935,Saskatchewan,211110,Oil and gas extraction (except oil sands)
250,G10330,Usine de Joliette,5453,Quebec,326210,Tire Manufacturing
251,G10332,Glanbrook Landfill Site,10976,Ontario,562210,Waste Treatment and Disposal
252,G10334,Irving Paper,3394,New Brunswick,322121,Paper (except Newsprint) Mills
253,G10337,Walker Environmental Group Inc. Landfill Sites,10132,Ontario,562210,Waste Treatment and Disposal
254,G10338,North Tangleflags Facility,15778,Saskatchewan,211141,In-situ oil sands extraction
255,G10341,Poplar Hill Generating Station,6611,Alberta,221112,Fossil-Fuel Electric Power Generation
256,G10342,Prince George Pulp and Paper and Intercontinental Pulp Mills,4063,British Columbia,322112,Chemical Pulp Mills
257,G10343,Ridge Landfill,7396,Ontario,562210,Waste Treatment and Disposal
258,G10344,Sainte Sophie Landfill,6173,Quebec,562210,Waste Treatment and Disposal
259,G10346,FortisBC Energy Inc.,,British Columbia,221210,Natural Gas Distribution
260,G10348,Trail Road Waste Facility,7238,Ontario,562210,Waste Treatment and Disposal
261,G10349,Valleyview Generating Station,6615,Alberta,221112,Fossil-Fuel Electric Power Generation
262,G10350,Wabush Mines - Scully,5460,Newfoundland and Labrador,212210,Iron Ore Mining
263,G10351,Walkerville,7353,Ontario,312140,Distilleries
264,G10352,West Edmonton Landfill,6869,Alberta,562210,Waste Treatment and Disposal
265,G10353,Weyburn 05-16-006-13W2 BTY,6631,Saskatchewan,211110,Oil and gas extraction (except oil sands)
266,G10354,Sea Rose FPSO,8060,Newfoundland and Labrador,211110,Oil and gas extraction (except oil sands)
